id,name,country,region,wmo,icao,latitude,longitude,elevation,timezone,hourly_start,hourly_end,daily_start,daily_end,monthly_start,monthly_end
00FAY,Holden Agdm,CA,AB,71227,CXHD,53.19,-112.25,688.0,America/Edmonton,2020-01-01,2024-12-07,2002-11-01,2024-03-13,2003-01-01,2022-01-01
00TG6,Athabasca 1,CA,AB,,,54.72,-113.29,515.0,America/Edmonton,,,2000-01-01,2022-07-12,2000-01-01,2010-01-01
01001,Jan Mayen,NO,,01001,ENJA,70.9333,-8.6667,10.0,Europe/Oslo,1931-01-01,2025-03-20,1921-12-31,2025-07-21,1922-01-01,2022-01-01
01002,Grahuken,NO,SJ,01002,,79.7833,14.4667,0.0,Europe/Oslo,1986-11-09,2025-03-20,2010-10-07,2020-08-17,,
01003,Hornsund,NO,,01003,,77.0,15.5,10.0,Europe/Oslo,1985-06-01,2025-03-20,2009-11-26,2020-08-31,2016-01-01,2017-01-01
01004,New Alesund II,NO,SJ,01004,ENAS,78.9167,11.9333,8.0,Europe/Oslo,1973-01-01,2014-05-23,1968-12-31,1997-03-01,1969-01-01,1974-01-01
01005,Barentsburg,NO,SJ,01005,,78.0667,13.6333,9.0,Arctic/Longyearbyen,,,,,1951-01-01,1980-01-01
01006,Edgeoya,NO,SJ,01006,,78.2333,22.7833,0.0,Europe/Oslo,1973-01-01,2025-03-20,2010-10-07,2020-08-23,,
01007,New Alesund,NO,SJ,01007,,78.9167,11.9333,0.0,Europe/Oslo,,,1973-03-28,2025-07-21,1974-01-01,2022-01-01
01008,Svalbard Lufthavn,NO,,01008,ENSB,78.25,15.4667,2.0,Europe/Oslo,1975-09-29,2025-06-28,1975-08-01,2025-07-19,1975-01-01,2022-01-01
01015,Hekkingen Lighthouse,NO,TR,01015,,69.6,17.8333,14.0,Europe/Oslo,1980-03-14,2025-03-20,1979-10-31,2021-09-06,1979-01-01,2021-01-01
01016,Senja-Grasmyrskogen,NO,TR,01016,,69.2833,17.7667,50.0,Europe/Oslo,1993-05-01,2025-03-20,2010-10-22,2020-08-30,,
01024,Lanes,NO,SV,01024,,78.6556,16.3603,20.0,Europe/Oslo,1973-01-01,2023-10-19,2012-11-29,2020-08-18,,
01025,Tromso Airport,NO,TR,01025,ENTC,69.6833,18.9167,1.0,Europe/Oslo,1973-01-01,2025-06-28,1964-09-30,2024-01-04,1964-01-01,2022-01-01
01026,Tromso,NO,TR,01026,,69.65,18.9333,103.0,Europe/Oslo,1997-02-01,2025-03-20,1920-07-01,2025-07-20,1920-01-01,2022-01-01
01027,Tromso-holt / Åsgård,NO,TR,01027,,69.6522,18.9056,10.0,Europe/Oslo,2011-09-28,2025-03-20,2011-09-29,2022-03-22,2013-01-01,2019-01-01
01028,Bjornoya,NO,SJ,01028,ENBJ,74.5167,19.0167,16.0,Europe/Oslo,1931-01-03,2025-06-28,1910-08-29,2025-07-21,1910-01-01,2022-01-01
01033,Torsvag Lighthouse,NO,TR,01033,,70.25,19.5,21.0,Europe/Oslo,1973-01-01,2025-03-20,2002-07-31,2021-12-01,2006-01-01,2017-01-01
01037,Skibotn / Skibotin,NO,TR,01037,,69.3861,20.2594,5.0,Europe/Oslo,1973-01-01,2025-03-20,2006-02-17,2020-07-10,2006-01-01,2019-01-01
01045,Nordstraum I Kvaenangen,NO,TR,01045,,69.8333,21.8833,6.0,Europe/Oslo,1973-01-01,2025-03-20,2018-10-18,2022-03-21,2019-01-01,2019-01-01
01046,Sorkjosen,NO,TR,01046,ENSR,69.7833,20.9667,5.0,Europe/Oslo,1975-09-05,2025-06-28,2006-11-22,2022-04-25,2007-01-01,2019-01-01
01047,Kautokeino,NO,FI,01047,ENKA,69.0,23.0333,305.0,Europe/Oslo,1973-01-01,2025-03-20,,,,
01049,Alta Airport,NO,FI,01049,ENAT,69.9833,23.3667,3.0,Europe/Oslo,1973-01-01,2025-06-28,1985-05-24,2022-04-25,2005-01-01,2022-01-01
01051,Suolovuopmi,NO,FI,01051,,69.5833,23.5333,374.0,Europe/Oslo,,,1908-01-01,2001-12-31,1908-01-01,2001-01-01
01055,Fruholmen Lighthouse,NO,FI,01055,,71.1,24.0,13.0,Europe/Oslo,1931-01-01,2025-03-20,2003-11-07,2021-12-12,2005-01-01,2019-01-01
01057,Cuovddatmohkki,NO,FI,01057,,69.3667,24.4333,286.0,Europe/Oslo,1973-01-01,2025-03-20,,,,
01058,Suolovuopmi Lulit / Masi,NO,FI,01058,,69.5794,23.5344,381.0,Europe/Oslo,2005-02-18,2025-03-20,2006-02-17,2021-01-10,2010-01-01,2017-01-01
01059,Banak,NO,FI,01059,ENNA,70.0667,24.9833,0.0,Europe/Oslo,1973-01-01,2025-06-28,1984-11-16,2022-04-25,2006-01-01,2022-01-01
01062,Hopen,NO,,01062,ENHO,76.5,25.0667,6.0,Europe/Oslo,1955-01-01,2025-03-20,2010-08-20,2021-12-12,2013-01-01,2020-01-01
01065,Karasjok,NO,FI,01065,,69.4667,25.5,129.0,Europe/Oslo,1973-01-01,2025-03-20,1899-12-31,2021-12-11,1900-01-01,2022-01-01
01068,Honningsvag Airport,NO,FI,01068,ENHV,71.0167,25.9833,1.0,Europe/Oslo,1980-06-04,2025-06-28,2011-09-29,2022-04-25,2011-01-01,2017-01-01
01074,Mehamn,NO,FI,01074,ENMH,71.0333,27.8333,1.0,Europe/Oslo,1975-09-05,2025-06-28,2011-10-11,2021-10-04,2012-01-01,2018-01-01
01078,Sletnes Lighthouse,NO,FI,01078,,71.0833,28.2333,8.0,Europe/Oslo,1973-01-01,2025-03-20,2002-07-28,2021-12-10,2005-01-01,2017-01-01
01083,Berlevag,NO,FI,01083,ENBV,70.8667,29.0333,1.0,Europe/Oslo,1975-09-05,2025-06-28,2011-09-29,2022-04-20,2011-01-01,2019-01-01
01092,Makkaur Fyr,NO,FI,01092,,70.7,30.0833,9.0,Europe/Oslo,1973-01-01,2025-03-21,2006-02-17,2020-04-01,2010-01-01,2019-01-01
01097,Svartnes,NO,FI,01097,ENSS,70.35,31.05,12.0,Europe/Oslo,2005-01-02,2025-06-28,2011-09-29,2022-04-21,2012-01-01,2018-01-01
01098,Vardo,NO,FI,01098,,70.3667,31.1,14.0,Europe/Oslo,1931-01-03,2025-03-21,1951-01-01,2025-07-21,1949-01-01,2022-01-01
01102,Sklinna Lighthouse,NO,NT,01102,,65.2,11.0,23.0,Europe/Oslo,1975-02-28,2025-03-21,2003-11-07,2020-08-31,2010-01-01,2018-01-01
01105,Skomvaer Fyr / Nes,NO,NO,01105,,68.3678,15.9428,8.0,Europe/Oslo,1973-01-01,2025-03-21,2008-11-08,2021-12-12,2010-01-01,2019-01-01
01108,Vega-Vallsjo,NO,NO,01108,,65.7,11.85,2.0,Europe/Oslo,1991-08-01,2025-03-21,2012-07-15,2021-12-12,2013-01-01,2017-01-01
01114,Reipa,NO,NO,01114,,66.9033,13.6458,9.0,Europe/Oslo,2009-07-02,2025-03-21,2009-07-02,2025-07-21,2009-01-01,2021-01-01
01116,Sandnessjoen Airport,NO,18,01116,ENST,65.9667,12.4667,1.0,Europe/Oslo,1973-04-01,2025-06-28,1987-10-20,2022-04-25,2011-01-01,2020-01-01
01117,Tjotta,NO,NO,01117,,65.8269,12.4314,21.0,Europe/Oslo,2004-01-19,2025-03-21,2011-09-29,2020-08-31,2012-01-01,2019-01-01
01124,Kjobli I Snasa / Åsan,NO,NT,01124,,64.1586,12.4692,195.0,Europe/Oslo,2005-02-18,2025-03-21,2012-12-07,2021-12-10,2013-01-01,2019-01-01
01132,Majavatn,NO,NO,01132,,65.1661,13.3667,319.0,Europe/Oslo,2008-02-29,2025-03-21,2008-03-02,2021-12-09,2012-01-01,2017-01-01
01133,Laksfors / Fallmoen,NO,NO,01133,,65.6214,13.2892,50.0,Europe/Oslo,2011-11-29,2025-03-21,2011-11-30,2021-10-30,2013-01-01,2019-01-01
01135,Seljelia,NO,NO,01135,,66.1317,13.5867,126.0,Europe/Oslo,2011-11-29,2025-03-21,2011-11-30,2021-12-12,2013-01-01,2017-01-01
01139,Vaeroy Airport,NO,NO,01139,ENVY,67.6528,12.7228,4.0,Europe/Oslo,1988-01-05,1990-07-16,,,,
01141,Leknes Airport,NO,,01141,ENLK,68.15,13.6167,2.0,Europe/Oslo,1973-06-20,2025-06-28,2015-02-18,2022-04-21,2015-01-01,2020-01-01
01144,Sorvaer (Helligvaer),NO,18,01144,,67.4047,13.8956,24.0,Europe/Oslo,2005-03-15,2025-03-21,2006-01-21,2021-01-10,2006-01-01,2019-01-01
01148,Storforshei,NO,NO,01148,,66.3961,14.5306,110.0,Europe/Oslo,2011-06-16,2025-03-21,2011-06-17,2021-10-20,2012-01-01,2019-01-01
01149,Rana-Basmoen,NO,NO,01149,,66.3333,14.1,40.0,Europe/Oslo,,,,,,
01150,Hjartasen / Nedre Hjartåsen,NO,NO,01150,,66.4992,14.9539,251.0,Europe/Oslo,1973-01-03,2025-03-21,2010-01-15,2021-08-22,2012-01-01,2016-01-01
01152,Bodo Airport,NO,NO,01152,ENBO,67.2667,14.3667,1.0,Europe/Oslo,1940-09-17,2025-06-28,1973-03-28,2022-04-25,1949-01-01,2022-01-01
