time,tmax
2020-01-01,5.0
2020-01-02,10.0
2020-01-03,7.8
2020-01-04,10.0
2020-01-05,6.1
2020-01-06,7.8
2020-01-07,6.1
2020-01-08,5.6
2020-01-09,0.0
2020-01-10,10.0
2020-01-11,14.4
2020-01-12,20.0
2020-01-13,8.3
2020-01-14,7.2
2020-01-15,11.1
2020-01-16,10.0
2020-01-17,0.6
2020-01-18,4.4
2020-01-19,7.8
2020-01-20,-1.0
2020-01-21,0.0
2020-01-22,3.9
2020-01-23,7.8
2020-01-24,11.7
2020-01-25,11.7
2020-01-26,8.9
2020-01-27,7.2
2020-01-28,6.7
2020-01-29,3.3
2020-01-30,2.8
2020-01-31,6.1
2020-02-01,5.0
2020-02-02,7.2
2020-02-03,11.7
2020-02-04,11.7
2020-02-05,10.0
2020-02-06,5.6
2020-02-07,12.2
2020-02-08,5.6
2020-02-09,7.8
2020-02-10,7.8
2020-02-11,7.8
2020-02-12,7.2
2020-02-13,5.6
2020-02-14,3.3
2020-02-15,-0.5
2020-02-16,6.7
2020-02-17,10.0
2020-02-18,8.3
2020-02-19,8.9
2020-02-20,2.2
2020-02-21,0.6
2020-02-22,7.8
2020-02-23,11.7
2020-02-24,12.2
2020-02-25,10.6
2020-02-26,10.0
2020-02-27,10.0
2020-02-28,5.6
2020-02-29,3.3
2020-03-01,5.6
2020-03-02,11.7
2020-03-03,12.2
2020-03-04,13.3
2020-03-05,10.6
2020-03-06,8.3
2020-03-07,7.2
2020-03-08,11.7
2020-03-09,17.2
2020-03-10,15.0
2020-03-11,13.3
2020-03-12,8.9
2020-03-13,21.1
2020-03-14,12.8
2020-03-15,11.1
2020-03-16,6.7
2020-03-17,10.6
2020-03-18,11.7
2020-03-19,9.4
2020-03-20,20.0
2020-03-21,19.4
2020-03-22,6.1
2020-03-23,6.1
2020-03-24,11.7
2020-03-25,7.8
2020-03-26,13.3
2020-03-27,18.3
2020-03-28,11.1
2020-03-29,10.0
2020-03-30,11.1
2020-03-31,8.9
2020-04-01,11.7
2020-04-02,13.9
2020-04-03,10.6
2020-04-04,14.4
2020-04-05,11.7
2020-04-06,17.8
2020-04-07,17.8
2020-04-08,15.6
2020-04-09,12.8
2020-04-10,10.6
2020-04-11,12.2
2020-04-12,15.0
2020-04-13,15.6
2020-04-14,14.4
2020-04-15,11.7
2020-04-16,10.0
2020-04-17,10.0
2020-04-18,7.2
2020-04-19,13.9
2020-04-20,12.8
2020-04-21,12.2
2020-04-22,10.0
2020-04-23,9.4
2020-04-24,8.3
2020-04-25,16.7
2020-04-26,10.0
2020-04-27,9.4
2020-04-28,17.8
2020-04-29,11.7
2020-04-30,14.4
2020-05-01,18.9
2020-05-02,22.2
2020-05-03,22.8
2020-05-04,22.8
2020-05-05,16.7
2020-05-06,11.7
2020-05-07,18.9
2020-05-08,13.3
2020-05-09,9.4
2020-05-10,16.7
2020-05-11,15.6
2020-05-12,15.6
2020-05-13,16.1
2020-05-14,17.2
2020-05-15,26.1
2020-05-16,24.4
2020-05-17,17.2
2020-05-18,20.6
2020-05-19,18.9
2020-05-20,17.8
2020-05-21,16.7
2020-05-22,24.4
2020-05-23,21.7
2020-05-24,19.4
2020-05-25,21.1
2020-05-26,22.2
2020-05-27,23.3
2020-05-28,23.3
2020-05-29,21.7
2020-05-30,27.2
2020-05-31,21.1
2020-06-01,20.6
2020-06-02,22.8
2020-06-03,26.7
2020-06-04,28.9
2020-06-05,26.1
2020-06-06,27.8
2020-06-07,24.4
2020-06-08,26.1
2020-06-09,28.3
2020-06-10,26.1
2020-06-11,22.2
2020-06-12,28.9
2020-06-13,22.8
2020-06-14,21.7
2020-06-15,23.9
2020-06-16,25.0
2020-06-17,24.4
2020-06-18,24.4
2020-06-19,26.1
2020-06-20,27.8
2020-06-21,28.9
2020-06-22,31.1
2020-06-23,27.8
2020-06-24,31.1
2020-06-25,29.4
2020-06-26,30.0
2020-06-27,26.7
2020-06-28,29.4
2020-06-29,29.4
2020-06-30,25.0
2020-07-01,28.3
2020-07-02,30.6
2020-07-03,31.1
2020-07-04,28.3
2020-07-05,30.0
2020-07-06,32.8
2020-07-07,23.9
2020-07-08,28.9
2020-07-09,29.4
2020-07-10,26.7
2020-07-11,26.1
2020-07-12,30.6
2020-07-13,28.9
2020-07-14,30.0
2020-07-15,24.4
2020-07-16,23.9
2020-07-17,26.1
2020-07-18,31.1
2020-07-19,31.1
2020-07-20,33.9
2020-07-21,32.2
2020-07-22,30.6
2020-07-23,29.4
2020-07-24,25.6
2020-07-25,30.0
2020-07-26,32.2
2020-07-27,35.0
2020-07-28,35.0
2020-07-29,29.4
2020-07-30,31.7
2020-07-31,27.2
2020-08-01,31.1
2020-08-02,28.3
2020-08-03,30.6
2020-08-04,26.7
2020-08-05,30.0
2020-08-06,26.1
2020-08-07,26.7
2020-08-08,26.1
2020-08-09,28.3
2020-08-10,31.7
2020-08-11,28.3
2020-08-12,30.6
2020-08-13,27.8
2020-08-14,31.1
2020-08-15,27.2
2020-08-16,20.6
2020-08-17,26.1
2020-08-18,28.3
2020-08-19,22.8
2020-08-20,25.6
2020-08-21,27.2
2020-08-22,30.0
2020-08-23,27.8
2020-08-24,31.1
2020-08-25,32.8
2020-08-26,26.1
2020-08-27,33.3
2020-08-28,30.0
2020-08-29,26.1
2020-08-30,26.7
2020-08-31,23.9
2020-09-01,25.6
2020-09-02,26.1
2020-09-03,30.0
2020-09-04,30.6
2020-09-05,26.7
2020-09-06,27.2
2020-09-07,25.6
2020-09-08,28.3
2020-09-09,25.6
2020-09-10,27.2
2020-09-11,25.6
2020-09-12,21.7
2020-09-13,23.9
2020-09-14,23.9
2020-09-15,19.4
2020-09-16,21.7
2020-09-17,24.4
2020-09-18,20.6
2020-09-19,17.2
2020-09-20,17.2
2020-09-21,17.8
2020-09-22,21.1
2020-09-23,26.7
2020-09-24,24.4
2020-09-25,24.4
2020-09-26,24.4
2020-09-27,25.6
2020-09-28,23.9
2020-09-29,23.9
2020-09-30,22.2
2020-10-01,23.3
2020-10-02,18.3
2020-10-03,20.0
2020-10-04,19.4
2020-10-05,20.0
2020-10-06,20.6
2020-10-07,23.9
2020-10-08,18.9
2020-10-09,18.3
2020-10-10,20.6
2020-10-11,18.9
2020-10-12,13.9
2020-10-13,16.7
2020-10-14,19.4
2020-10-15,20.6
2020-10-16,18.9
2020-10-17,15.6
2020-10-18,17.2
2020-10-19,18.9
2020-10-20,20.6
2020-10-21,21.7
2020-10-22,22.8
2020-10-23,18.3
2020-10-24,20.0
2020-10-25,12.2
2020-10-26,14.4
2020-10-27,15.6
2020-10-28,14.4
2020-10-29,12.8
2020-10-30,7.8
2020-10-31,8.3
2020-11-01,13.9
2020-11-02,7.2
2020-11-03,12.2
2020-11-04,16.7
2020-11-05,17.8
2020-11-06,18.9
2020-11-07,23.3
2020-11-08,24.4
2020-11-09,23.3
2020-11-10,20.6
2020-11-11,20.0
2020-11-12,18.9
2020-11-13,12.2
2020-11-14,11.1
2020-11-15,17.2
2020-11-16,12.8
2020-11-17,10.0
2020-11-18,2.8
2020-11-19,9.4
2020-11-20,14.4
2020-11-21,18.3
2020-11-22,13.9
2020-11-23,15.0
2020-11-24,8.9
2020-11-25,13.3
2020-11-26,18.9
2020-11-27,16.7
2020-11-28,13.3
2020-11-29,11.7
2020-11-30,17.2
2020-12-01,14.4
2020-12-02,7.2
2020-12-03,10.0
2020-12-04,11.7
2020-12-05,8.3
2020-12-06,5.6
2020-12-07,5.0
2020-12-08,0.6
2020-12-09,3.9
2020-12-10,10.0
2020-12-11,11.7
2020-12-12,13.9
2020-12-13,17.2
2020-12-14,6.7
2020-12-15,4.4
2020-12-16,0.6
2020-12-17,1.7
2020-12-18,-1.0
2020-12-19,1.1
2020-12-20,1.7
2020-12-21,6.7
2020-12-22,7.2
2020-12-23,7.2
2020-12-24,15.0
2020-12-25,15.0
2020-12-26,0.6
2020-12-27,4.4
2020-12-28,10.0
2020-12-29,5.0
2020-12-30,7.8
2020-12-31,8.9
2021-01-01,4.4
2021-01-02,11.1
2021-01-03,3.9
2021-01-04,6.7
2021-01-05,5.6
2021-01-06,3.9
2021-01-07,4.4
2021-01-08,3.3
2021-01-09,2.2
2021-01-10,4.4
2021-01-11,2.8
2021-01-12,6.7
2021-01-13,5.6
2021-01-14,8.9
2021-01-15,7.8
2021-01-16,9.4
2021-01-17,7.2
2021-01-18,7.8
2021-01-19,6.1
2021-01-20,5.6
2021-01-21,5.6
2021-01-22,7.8
2021-01-23,1.1
2021-01-24,0.0
2021-01-25,2.8
2021-01-26,2.2
2021-01-27,3.3
2021-01-28,0.6
2021-01-29,-4.9
2021-01-30,-0.5
2021-01-31,-3.2
2021-02-01,1.1
2021-02-02,2.2
2021-02-03,1.7
2021-02-04,4.4
2021-02-05,6.7
2021-02-06,6.1
2021-02-07,2.8
2021-02-08,-1.6
2021-02-09,2.8
2021-02-10,0.6
2021-02-11,-0.5
2021-02-12,-1.6
2021-02-13,-1.0
2021-02-14,2.2
2021-02-15,1.7
2021-02-16,11.1
2021-02-17,1.7
2021-02-18,-2.1
2021-02-19,0.0
2021-02-20,1.1
2021-02-21,1.1
2021-02-22,6.1
2021-02-23,5.6
2021-02-24,10.0
2021-02-25,8.9
2021-02-26,6.1
2021-02-27,11.7
2021-02-28,6.7
2021-03-01,8.3
2021-03-02,0.0
2021-03-03,10.6
2021-03-04,7.8
2021-03-05,2.8
2021-03-06,1.7
2021-03-07,4.4
2021-03-08,5.0
2021-03-09,17.2
2021-03-10,9.4
2021-03-11,14.4
2021-03-12,19.4
2021-03-13,10.0
2021-03-14,11.1
2021-03-15,1.7
2021-03-16,1.1
2021-03-17,8.3
2021-03-18,7.2
2021-03-19,6.1
2021-03-20,12.8
2021-03-21,15.6
2021-03-22,13.9
2021-03-23,17.8
2021-03-24,16.1
2021-03-25,19.4
2021-03-26,25.6
2021-03-27,18.3
2021-03-28,13.9
2021-03-29,11.7
2021-03-30,12.8
2021-03-31,16.1
2021-04-01,13.3
2021-04-02,2.8
2021-04-03,10.0
2021-04-04,16.1
2021-04-05,19.4
2021-04-06,18.9
2021-04-07,20.0
2021-04-08,20.6
2021-04-09,11.1
2021-04-10,17.2
2021-04-11,15.0
2021-04-12,12.2
2021-04-13,17.8
2021-04-14,18.3
2021-04-15,12.2
2021-04-16,12.2
2021-04-17,12.8
2021-04-18,17.8
2021-04-19,17.8
2021-04-20,18.9
2021-04-21,15.6
2021-04-22,8.9
2021-04-23,17.2
2021-04-24,20.6
2021-04-25,15.0
2021-04-26,15.0
2021-04-27,15.0
2021-04-28,23.3
2021-04-29,20.0
2021-04-30,20.6
2021-05-01,17.2
2021-05-02,23.9
2021-05-03,18.9
2021-05-04,18.3
2021-05-05,13.9
2021-05-06,18.9
2021-05-07,17.2
2021-05-08,12.8
2021-05-09,17.8
2021-05-10,16.7
2021-05-11,18.9
2021-05-12,19.4
2021-05-13,20.0
2021-05-14,23.3
2021-05-15,24.4
2021-05-16,22.8
2021-05-17,23.9
2021-05-18,26.7
2021-05-19,29.4
2021-05-20,22.2
2021-05-21,21.7
2021-05-22,32.2
2021-05-23,31.7
2021-05-24,18.3
2021-05-25,19.4
2021-05-26,22.2
2021-05-27,27.2
2021-05-28,20.0
2021-05-29,10.6
2021-05-30,11.1
2021-05-31,18.9
2021-06-01,22.8
2021-06-02,21.7
2021-06-03,18.9
2021-06-04,23.9
2021-06-05,28.9
2021-06-06,32.2
2021-06-07,26.7
2021-06-08,29.4
2021-06-09,31.7
2021-06-10,26.7
2021-06-11,23.3
2021-06-12,21.1
2021-06-13,24.4
2021-06-14,21.7
2021-06-15,25.6
2021-06-16,25.6
2021-06-17,25.6
2021-06-18,26.7
2021-06-19,31.1
2021-06-20,27.8
2021-06-21,26.1
2021-06-22,27.8
2021-06-23,23.9
2021-06-24,23.9
2021-06-25,23.3
2021-06-26,25.6
2021-06-27,27.8
2021-06-28,29.4
2021-06-29,31.1
2021-06-30,31.7
2021-07-01,30.0
2021-07-02,24.4
2021-07-03,17.8
2021-07-04,23.3
2021-07-05,25.6
2021-07-06,29.4
2021-07-07,32.2
2021-07-08,26.7
2021-07-09,30.0
2021-07-10,26.7
2021-07-11,25.0
2021-07-12,27.8
2021-07-13,23.9
2021-07-14,30.6
2021-07-15,31.1
2021-07-16,31.7
2021-07-17,30.6
2021-07-18,28.3
2021-07-19,27.2
2021-07-20,30.0
2021-07-21,28.3
2021-07-22,27.2
2021-07-23,28.3
2021-07-24,27.2
2021-07-25,26.7
2021-07-26,31.7
2021-07-27,31.7
2021-07-28,27.2
2021-07-29,25.0
2021-07-30,29.4
2021-07-31,24.4
2021-08-01,25.0
2021-08-02,27.2
2021-08-03,26.7
2021-08-04,23.9
2021-08-05,25.6
2021-08-06,29.4
